Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","660","Anguilla","2009","2009","23014","Food price inflation","7006","June","%","4.336625","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2010","2010","23014","Food price inflation","7006","June","%","1.825802","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2011","2011","23014","Food price inflation","7006","June","%","3.656147","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2012","2012","23014","Food price inflation","7006","June","%","5.415977","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2013","2013","23014","Food price inflation","7006","June","%","0.477537","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2014","2014","23014","Food price inflation","7006","June","%","3.047815","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2015","2015","23014","Food price inflation","7006","June","%","-1.063144","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2016","2016","23014","Food price inflation","7006","June","%","-0.955847","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2017","2017","23014","Food price inflation","7006","June","%","1.44066","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2018","2018","23014","Food price inflation","7006","June","%","-0.726371","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2019","2019","23014","Food price inflation","7006","June","%","4.309806","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2020","2020","23014","Food price inflation","7006","June","%","1.967494","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2021","2021","23014","Food price inflation","7006","June","%","-0.125839","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2001","2001","23014","Food price inflation","7007","July","%","4.152533","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2002","2002","23014","Food price inflation","7007","July","%","1.209546","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2003","2003","23014","Food price inflation","7007","July","%","-4.166667","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2004","2004","23014","Food price inflation","7007","July","%","4.853387","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2005","2005","23014","Food price inflation","7007","July","%","2.896175","Fc","Calculated data",""
"CP","Consumer Price Indices","660","Anguilla","2006","2006","23014","Food price inflation","7007","July","%","6.672706","Fc","Calculated data",""
